EcosystemType,Paper,TimesMentioned,Reviewer,PaperType,PeerReview,Nation,OceanRegion,ResilienceCat,ResilienceOutcome,ResilienceResponse,GivenDefinitionResilience,ResilienceDefinition,StudyLength,DISTURBANCE COMPILED,DisturbType1,DisturbLength1,DisturbType2,DisturbLength2,DisturbancePeriodDescription,DisturbYRstart,DisturbYRend,RecoveryTime,FactorsContributingResilience,MostImportantFactor1,MostImportFactor2,FactorsPreventingResilience1,FactorsPreventingResilience2,Comments,prevResRE,prevRes2RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Tegner MJ, Dayton PK. Adv. Ecol. Res. 1987",1,Jenifer,can't find paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Andersen, J Marine Biology, 2011",1,Jennifer,can't find paper,,,,,,,,,,,,,,,,,,,,,,,,CANNOT FIND PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangrove,"Intertiol J. Biological Chemistry 6(4), 238-247,2011",1,Jennifer,can't find paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltMarsh,"GASCÓN S, BOIX D, SALA J & QUINTA X.D. 2007. Changes on macrobenthic fau of a Mediterranean salt marsh (Empordš Wetlands, NE Iberian Peninsula) after a severe drought, with special emphasis on the Corophium orientale population. Vie et Milieu, 57(1/2): 3-12.",1,Jennifer,can't find paper,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Wernberg, T., Thomsen, M.S., Tuya, F., Kendrick, G.A., Staehr, P.A. & Toohey, B.D. 2010. Decreasing resilience of Australian kelp beds...",3,Jennifer,Empirical,Yes,Australia,Indian Ocean,Recovery,Context-Dependent,HabitatFormingSpp,N/A,No,1-5 yrs,Storms,Storms,Ongoing,,,ongoing (latitudil),,,,recruitment of kelp,Adequate recruitment/connectivity,,Additional global climatic stressors,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)","no significant relationships between mean ocean temperature and the cover or biomass of kelp canopies, but recruits reduced with increasing temperature. Kelp beds in warmer regions have reduced capacity for recovery due to lower recruitment. in the face of global warming is that current kelp habitats may remain intact but in a state where they are more susceptible to additiol stressors such as reduced water quality, disturbance or disease",Global stressors,Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Andersen, J Phycol, 2013",1,Jennifer,Empirical,Yes,Norway,North Sea,Recovery,No,HabitatFormingSpp,N/A,No,1-4 weeks (<1 month),Temperature,Temperature,Ongoing,,,ongoing,,,,N/A,,,Additional global climatic stressors,Other,"Paper links loss of large areas of kelps with physiological tolerance tests in the lab. Tests strongly support hypothesis that at least in shallow areas, high temperatures has led to loss of kelps.",Global stressors,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Moy, Marine biology research, 2012",1,Jennifer,Empirical,Yes,Norway,Norwegian Sea,Recovery,No,HabitatFormingSpp,,No,1-5 yrs,Temperature,Temperature,Ongoing,Nutrient input/Pollution/Sedimentation,Ongoing,Distrubances are hypothesized,,,,,Physical setting,,,,Disturbance are hypothesized.  Only sugar kelp that survived is on open coast with high wave action.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Schiel, DR, JEMBE 2011, Volume 407, Issue 1, 108_115; and vol400, 33-51",1,Jennifer,Empirical,Yes,New Zealand,,Recovery,No,HabitatFormingSpp,,No,6-10 yrs,ENSO,ENSO,hours-days (<1 week),,Ongoing,Disburbance was experimental kelp removal,2002,2010,,,,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",,Growth of corallines and turfs prevented recollonization of kelps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Harrold C, Reed DC. Ecology 1985",2,Jennifer,Empirical,Yes,"USA, Mexico",Pacific,Recovery,Yes,HabitatFormingSpp,N/A,No,1-5 yrs,Storms,Storms,Ongoing,,,N/A,,,1-5 yrs,"less intense storms, clear waters, high nutrients, and low temperatures",Other,,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)",,"Different type of kelp system - dymic with barrens and kelp. purpose of this study to investigate the factors that regulate sea urchin grazing intensity in this kelp forest, and to determine what role these factors play in regulating kelp forest community structure",Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Edwards, M. S. and J. A. Estes. 2006. Catastrophe, recovery and range limitation in E Pacific kelp forests: a large-scale perspective. Marine Ecology Progress Series 320.",1,Jennifer,Empirical,Yes,"USA, Mexico",Pacific,Recovery,Yes,HabitatFormingSpp,,No,1-5 yrs,ENSO,ENSO,1-5 yrs,,,1997-1998,1997,1998,1-5 yrs,"Proximity to upwelling areas, competition with algae, grazing, propagule availablilty (this prohibited recovery in southern portion of sp. range)",Physical setting,,Space preemption preventing recovery,,"tested hypothesis that ENSO had similar effects across 56 sites spanning Macrocystis rangeover 3 years ; recovery of kelp was variable on regiol and local scales and not easily linked to environmental factors. c atastrophes can negatively impact species across most or all of their ranges (e.g. Zholdasova 1997), raising the need for large-scale studies to examine them.",Space preemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Edwards, M.S. Oecologia 2004",3,Jennifer,Empirical,Yes,USA,Pacific,Recovery,Yes,HabitatFormingSpp,,No,1-5 yrs,ENSO,ENSO,1-5 yrs,,,,1997,1998,1-5 yrs,,Adequate recruitment/connectivity,Adequate remaining biogenic habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,Dayton.etal.1992,3,Kerry,Empirical,Yes,USA,Pacific,Recovery,Yes,HabitatFormingSpp,,No,11-20 yrs,ENSO,Storms,hours-days (<1 week),Temperature,Ongoing,ENSO 1982-1984; storm event January 1988,1982,1988,1-5 yrs,"good years of recruitment following disturbance, after storm had nutrient rich waters",Adequate recruitment/connectivity,Beneficial species interactions,Other,,"30 decades of kelp data im Point Loma, CA, during which there was a strong El Nino and a 200 yr storm. This paper is mainly about Macrocystis, with some mention of understory algae, which was more likely to not recover than Macrocystis. *PLEASE NOTE, THIS PAPER HAD EL NINO AND STORMS BUT COULDN""T FILL OUT INFO FOR BOTH",Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlgalForest,"Tegner, MEPS, 1991",1,Laura,Empirical,Yes,USA,Pacific,Recovery,Context-Dependent,HabitatFormingSpp,,No,11-20 yrs,ENSO,ENSO,1-5 yrs,,,1982-1984 (but they compare this event with a previous similar event in 1957-1959 which they considered of minor impact),1982,1984,1-5 yrs,"sea urchin fishery/control efforts, kelp restoration, and improvements In sewage disposal practices",Other,Conservation and magement measures,Additional local anthropogenic stressors,"Additional biotic disturbances (e.g., disease, population outbreaks, grazing)","The paper focused on understanding the factors causing the different recovery time of kelps from 2 similar disturbance events. Sewage was considered the main factor triggering unsufficient production of kelps and slowing recovery during the first event, while urchin fishery was considered the main factor accelerating recovery during the second event",Local stressors,Chronic biotic stressors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
